Program,Year,Geo Level,State,type,items,units,Value,CV (%)
CENSUS,2021,STATE,MARYLAND, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,17,31.1
CENSUS,2021,STATE,MARYLAND, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,MARYLAND, ORGANIC, FRESH MARKET - SALES, CWT,(D),(D)
CENSUS,2021,STATE,MARYLAND, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,2,(H)
CENSUS,2021,STATE,MARYLAND, ORGANIC, PROCESSING - SALES, $,(D),(D)
CENSUS,2021,STATE,MARYLAND, ORGANIC, PROCESSING - SALES, CWT,(D),(D)
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - ACRES HARVESTED,NA,NA,9,89.6
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,12,79.2
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - OPERATIONS WITH SALES,NA,NA,12,79.2
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,251,76.5
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - SALES, MEASURED IN $,NA,"94,827",80.1
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC - SALES, MEASURED IN CWT,NA,251,76.5
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,12,79.2
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC, FRESH MARKET - SALES, $,"94,827",80.1
CENSUS,2021,STATE,MASSACHUSETTS, ORGANIC, FRESH MARKET - SALES, CWT,251,76.5
CENSUS,2021,STATE,MICHIGAN, ORGANIC - ACRES HARVESTED,NA,NA,15,47.2
CENSUS,2021,STATE,MICHIGAN, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,26,32.5
CENSUS,2021,STATE,MICHIGAN, ORGANIC - OPERATIONS WITH SALES,NA,NA,26,32.5
CENSUS,2021,STATE,MICHIGAN, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,564,43.9
CENSUS,2021,STATE,MICHIGAN, ORGANIC - SALES, MEASURED IN $,NA,"174,011",44.1
CENSUS,2021,STATE,MICHIGAN, ORGANIC - SALES, MEASURED IN CWT,NA,564,43.9
CENSUS,2021,STATE,MICHIGAN, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,26,32.5
CENSUS,2021,STATE,MICHIGAN, ORGANIC, FRESH MARKET - SALES, $,"174,011",44.1
CENSUS,2021,STATE,MICHIGAN, ORGANIC, FRESH MARKET - SALES, CWT,564,43.9
CENSUS,2021,STATE,MINNESOTA, ORGANIC - ACRES HARVESTED,NA,NA,19,45.8
CENSUS,2021,STATE,MINNESOTA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,21,39.5
CENSUS,2021,STATE,MINNESOTA, ORGANIC - OPERATIONS WITH SALES,NA,NA,21,39.5
CENSUS,2021,STATE,MINNESOTA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,749,54.0
CENSUS,2021,STATE,MINNESOTA, ORGANIC - SALES, MEASURED IN $,NA,"418,914",62.4
CENSUS,2021,STATE,MINNESOTA, ORGANIC - SALES, MEASURED IN CWT,NA,749,54.0
CENSUS,2021,STATE,MINNESOTA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,18,43.6
CENSUS,2021,STATE,MINNESOTA, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,MINNESOTA, ORGANIC, FRESH MARKET - SALES, CWT,659,62.9
CENSUS,2021,STATE,MINNESOTA, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,3,95.4
CENSUS,2021,STATE,MINNESOTA, ORGANIC, PROCESSING - SALES, $,(D),(D)
CENSUS,2021,STATE,MINNESOTA, ORGANIC, PROCESSING - SALES, CWT,90,95.4
CENSUS,2021,STATE,MONTANA, ORGANIC - ACRES HARVESTED,NA,NA,5,71.5
CENSUS,2021,STATE,MONTANA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,11,43.6
CENSUS,2021,STATE,MONTANA, ORGANIC - OPERATIONS WITH SALES,NA,NA,11,43.6
CENSUS,2021,STATE,MONTANA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,96,73.5
CENSUS,2021,STATE,MONTANA, ORGANIC - SALES, MEASURED IN $,NA,"80,886",74.8
CENSUS,2021,STATE,MONTANA, ORGANIC - SALES, MEASURED IN CWT,NA,96,73.5
CENSUS,2021,STATE,MONTANA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,11,43.6
CENSUS,2021,STATE,MONTANA, ORGANIC, FRESH MARKET - SALES, $,"80,886",74.8
CENSUS,2021,STATE,MONTANA, ORGANIC, FRESH MARKET - SALES, CWT,96,73.5
CENSUS,2021,STATE,NEBRASKA, ORGANIC - ACRES HARVESTED,NA,NA,(D),(D)
CENSUS,2021,STATE,NEBRASKA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,1,(H)
CENSUS,2021,STATE,NEBRASKA, ORGANIC - OPERATIONS WITH SALES,NA,NA,1,(H)
CENSUS,2021,STATE,NEBRASKA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,NEBRASKA, ORGANIC - SALES, MEASURED IN $,NA,(D),(D)
CENSUS,2021,STATE,NEBRASKA, ORGANIC - SALES, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,NEBRASKA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,1,(H)
CENSUS,2021,STATE,NEBRASKA, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,NEBRASKA, ORGANIC, FRESH MARKET - SALES, CWT,(D),(D)
CENSUS,2021,STATE,NEW HAMPSHIRE, ORGANIC - ACRES HARVESTED,NA,NA,6,(H)
CENSUS,2021,STATE,NEW HAMPSHIRE, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,9,58.7
CENSUS,2021,STATE,NEW HAMPSHIRE, ORGANIC - OPERATIONS WITH SALES,NA,NA,9,58.7
CENSUS,2021,STATE,NEW HAMPSHIRE, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,132,(H)
CENSUS,2021,STATE,NEW HAMPSHIRE, ORGANIC - SALES, MEASURED IN $,NA,"52,665",(H)
CENSUS,2021,STATE,NEW HAMPSHIRE, ORGANIC - SALES, MEASURED IN CWT,NA,132,(H)
CENSUS,2021,STATE,NEW HAMPSHIRE, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,9,58.7
CENSUS,2021,STATE,NEW HAMPSHIRE, ORGANIC, FRESH MARKET - SALES, $,"52,665",(H)
CENSUS,2021,STATE,NEW HAMPSHIRE, ORGANIC, FRESH MARKET - SALES, CWT,132,(H)
CENSUS,2021,STATE,NEW JERSEY, ORGANIC - ACRES HARVESTED,NA,NA,(D),(D)
CENSUS,2021,STATE,NEW JERSEY, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,3,(H)
CENSUS,2021,STATE,NEW JERSEY, ORGANIC - OPERATIONS WITH SALES,NA,NA,3,(H)
CENSUS,2021,STATE,NEW JERSEY, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,NEW JERSEY, ORGANIC - SALES, MEASURED IN $,NA,"28,166",(H)
CENSUS,2021,STATE,NEW JERSEY, ORGANIC - SALES, MEASURED IN CWT,NA,(D),(D)
CENSUS,2021,STATE,NEW JERSEY, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,3,(H)
CENSUS,2021,STATE,NEW JERSEY, ORGANIC, FRESH MARKET - SALES, $,"28,166",(H)
CENSUS,2021,STATE,NEW JERSEY, ORGANIC, FRESH MARKET - SALES, CWT,(D),(D)
CENSUS,2021,STATE,NEW YORK, ORGANIC - ACRES HARVESTED,NA,NA,38,42.2
CENSUS,2021,STATE,NEW YORK, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,45,26.4
CENSUS,2021,STATE,NEW YORK, ORGANIC - OPERATIONS WITH SALES,NA,NA,45,26.4
CENSUS,2021,STATE,NEW YORK, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,"1,755",32.6
CENSUS,2021,STATE,NEW YORK, ORGANIC - SALES, MEASURED IN $,NA,"633,111",44.5
CENSUS,2021,STATE,NEW YORK, ORGANIC - SALES, MEASURED IN CWT,NA,"1,755",32.6
CENSUS,2021,STATE,NEW YORK, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,43,25.3
CENSUS,2021,STATE,NEW YORK, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,NEW YORK, ORGANIC, FRESH MARKET - SALES, CWT,(D),(D)
CENSUS,2021,STATE,NEW YORK, ORGANIC, PROCESSING - OPERATIONS WITH SALES,NA,2,94.9
CENSUS,2021,STATE,NEW YORK, ORGANIC, PROCESSING - SALES, $,(D),(D)
CENSUS,2021,STATE,NEW YORK, ORGANIC, PROCESSING - SALES, CWT,(D),(D)
CENSUS,2021,STATE,NORTH CAROLINA, ORGANIC - ACRES HARVESTED,NA,NA,6,76.7
CENSUS,2021,STATE,NORTH CAROLINA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,4,68.3
CENSUS,2021,STATE,NORTH CAROLINA, ORGANIC - OPERATIONS WITH SALES,NA,NA,4,68.3
CENSUS,2021,STATE,NORTH CAROLINA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,734,89.2
CENSUS,2021,STATE,NORTH CAROLINA, ORGANIC - SALES, MEASURED IN $,NA,"190,000",(H)
CENSUS,2021,STATE,NORTH CAROLINA, ORGANIC - SALES, MEASURED IN CWT,NA,734,89.2
CENSUS,2021,STATE,NORTH CAROLINA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,4,68.3
CENSUS,2021,STATE,NORTH CAROLINA, ORGANIC, FRESH MARKET - SALES, $,"190,000",(H)
CENSUS,2021,STATE,NORTH CAROLINA, ORGANIC, FRESH MARKET - SALES, CWT,734,89.2
CENSUS,2021,STATE,OHIO, ORGANIC - ACRES HARVESTED,NA,NA,10,67.5
CENSUS,2021,STATE,OHIO, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,9,72.1
CENSUS,2021,STATE,OHIO, ORGANIC - OPERATIONS WITH SALES,NA,NA,9,72.1
CENSUS,2021,STATE,OHIO, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,360,68.4
CENSUS,2021,STATE,OHIO, ORGANIC - SALES, MEASURED IN $,NA,"106,638",69.2
CENSUS,2021,STATE,OHIO, ORGANIC - SALES, MEASURED IN CWT,NA,360,68.4
CENSUS,2021,STATE,OHIO, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,9,72.1
CENSUS,2021,STATE,OHIO, ORGANIC, FRESH MARKET - SALES, $,"106,638",69.2
CENSUS,2021,STATE,OHIO, ORGANIC, FRESH MARKET - SALES, CWT,360,68.4
CENSUS,2021,STATE,OKLAHOMA, ORGANIC - ACRES HARVESTED,NA,NA,(D),(D)
CENSUS,2021,STATE,OKLAHOMA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,4,70.4
CENSUS,2021,STATE,OKLAHOMA, ORGANIC - OPERATIONS WITH SALES,NA,NA,4,70.4
CENSUS,2021,STATE,OKLAHOMA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,"1,858",69.9
CENSUS,2021,STATE,OKLAHOMA, ORGANIC - SALES, MEASURED IN $,NA,(D),(D)
CENSUS,2021,STATE,OKLAHOMA, ORGANIC - SALES, MEASURED IN CWT,NA,"1,858",69.9
CENSUS,2021,STATE,OKLAHOMA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,4,70.4
CENSUS,2021,STATE,OKLAHOMA, ORGANIC, FRESH MARKET - SALES, $,(D),(D)
CENSUS,2021,STATE,OKLAHOMA, ORGANIC, FRESH MARKET - SALES, CWT,"1,858",69.9
CENSUS,2021,STATE,OREGON, ORGANIC - ACRES HARVESTED,NA,NA,27,(H)
CENSUS,2021,STATE,OREGON, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,26,54.2
CENSUS,2021,STATE,OREGON, ORGANIC - OPERATIONS WITH SALES,NA,NA,26,54.2
CENSUS,2021,STATE,OREGON, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,"1,362",84.2
CENSUS,2021,STATE,OREGON, ORGANIC - SALES, MEASURED IN $,NA,"895,054",(H)
CENSUS,2021,STATE,OREGON, ORGANIC - SALES, MEASURED IN CWT,NA,"1,362",84.2
CENSUS,2021,STATE,OREGON, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,26,54.2
CENSUS,2021,STATE,OREGON, ORGANIC, FRESH MARKET - SALES, $,"895,054",(H)
CENSUS,2021,STATE,OREGON, ORGANIC, FRESH MARKET - SALES, CWT,"1,362",84.2
CENSUS,2021,STATE,PENNSYLVANIA, ORGANIC - ACRES HARVESTED,NA,NA,8,45.7
CENSUS,2021,STATE,PENNSYLVANIA, ORGANIC - OPERATIONS WITH AREA HARVESTED,NA,NA,27,48.1
CENSUS,2021,STATE,PENNSYLVANIA, ORGANIC - OPERATIONS WITH SALES,NA,NA,27,48.1
CENSUS,2021,STATE,PENNSYLVANIA, ORGANIC - PRODUCTION, MEASURED IN CWT,NA,522,49.0
CENSUS,2021,STATE,PENNSYLVANIA, ORGANIC - SALES, MEASURED IN $,NA,"148,898",43.7
CENSUS,2021,STATE,PENNSYLVANIA, ORGANIC - SALES, MEASURED IN CWT,NA,522,49.0
CENSUS,2021,STATE,PENNSYLVANIA, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES,NA,27,48.1
