"Program","Year","Period","Geo.Level","State","Strawberries","type","items","units","Domain","name","code","Value","CV....","Total"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," FRESH MARKET - PRICE RECEIVED"," ADJUSTED BASE"," MEASURED IN $ / CWT",NA,NA,NA,NA,NA,"10.8"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," FRESH MARKET - PRODUCTION"," $",NA,NA,NA,NA,NA,NA,"3,173,579,000"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," FRESH MARKET"," UTILIZED - PRODUCTION"," MEASURED IN CWT",NA,NA,NA,NA,NA,"22,382,200"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," NOT SOLD - PRODUCTION"," CWT",NA,NA,NA,NA,NA,NA,"33,400"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," PROCESSING - PRICE RECEIVED"," 10 YEAR AVG FOR PARITY PURPOSES"," MEASURED IN $ / TON",NA,NA,NA,NA,NA,"44.4"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," PROCESSING - PRICE RECEIVED"," 10 YEAR AVG"," MEASURED IN $ / TON",NA,NA,NA,NA,NA,"44.4"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," PROCESSING - PRICE RECEIVED"," ADJUSTED BASE"," MEASURED IN $ / TON",NA,NA,NA,NA,NA,"4.05"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," PROCESSING - PRODUCTION"," $",NA,NA,NA,NA,NA,NA,"225,364,000"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," PROCESSING"," UTILIZED - PRODUCTION"," MEASURED IN CWT",NA,NA,NA,NA,NA,"5,144,400"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," UTILIZED - PRODUCTION"," CWT",NA,NA,NA,NA,NA,NA,"27,526,600"
"SURVEY",2023,"YEAR","NATIONAL","US TOTAL","STRAWBERRIES"," UTILIZED - PRODUCTION"," TONS",NA,NA,NA,NA,NA,NA,"1,376,330"
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - ACRES HARVESTED",NA,NA,NA,NA,NA,NA,NA,NA,"42,700"
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - ACRES PLANTED",NA,NA,NA,NA,NA,NA,NA,NA,"43,100"
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB",NA,NA,"CHEMICAL, FUNGICIDE"," OXATHIAPIPROLIN ",128111,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB",NA,NA,"CHEMICAL, INSECTICIDE"," CYCLANILIPROLE ",26202,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB",NA,NA,"CHEMICAL, INSECTICIDE"," PERMETHRIN ",109701,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB",NA,NA,"CHEMICAL, OTHER"," ISARIA FUMOSOROSEA STRAIN FE 9901 ",115003,"(NA)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG",NA,"CHEMICAL, FUNGICIDE"," OXATHIAPIPROLIN ",128111,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG",NA,"CHEMICAL, INSECTICIDE"," CYCLANILIPROLE ",26202,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG",NA,"CHEMICAL, INSECTICIDE"," PERMETHRIN ",109701,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB / ACRE / APPLICATION"," AVG",NA,"CHEMICAL, OTHER"," ISARIA FUMOSOROSEA STRAIN FE 9901 ",115003,"(NA)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," AVG",NA,"CHEMICAL, FUNGICIDE"," OXATHIAPIPROLIN ",128111,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," AVG",NA,"CHEMICAL, INSECTICIDE"," CYCLANILIPROLE ",26202,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," AVG",NA,"CHEMICAL, INSECTICIDE"," PERMETHRIN ",109701,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN LB / ACRE / YEAR"," AVG",NA,"CHEMICAL, OTHER"," ISARIA FUMOSOROSEA STRAIN FE 9901 ",115003,"(NA)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN NUMBER"," AVG",NA,"CHEMICAL, FUNGICIDE"," OXATHIAPIPROLIN ",128111,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN NUMBER"," AVG",NA,"CHEMICAL, INSECTICIDE"," CYCLANILIPROLE ",26202,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN NUMBER"," AVG",NA,"CHEMICAL, INSECTICIDE"," PERMETHRIN ",109701,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - APPLICATIONS"," MEASURED IN NUMBER"," AVG",NA,"CHEMICAL, OTHER"," ISARIA FUMOSOROSEA STRAIN FE 9901 ",115003,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - PRODUCTION"," MEASURED IN $",NA,NA,NA,NA,NA,NA,NA,"2,965,387,000"
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - PRODUCTION"," MEASURED IN CWT",NA,NA,NA,NA,NA,NA,NA,"24,600,000"
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - TREATED"," MEASURED IN PCT OF AREA BEARING"," AVG",NA,"CHEMICAL, FUNGICIDE"," OXATHIAPIPROLIN ",128111,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - TREATED"," MEASURED IN PCT OF AREA BEARING"," AVG",NA,"CHEMICAL, INSECTICIDE"," CYCLANILIPROLE ",26202,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - TREATED"," MEASURED IN PCT OF AREA BEARING"," AVG",NA,"CHEMICAL, INSECTICIDE"," PERMETHRIN ",109701,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - TREATED"," MEASURED IN PCT OF AREA BEARING"," AVG",NA,"CHEMICAL, OTHER"," ISARIA FUMOSOROSEA STRAIN FE 9901 ",115003,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES - YIELD"," MEASURED IN CWT / ACRE",NA,NA,NA,NA,NA,NA,NA,"575"
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," AZOXYSTROBIN ",128810,"3,300",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," BACILLUS AMYLOLIQUEFACIENS STRAIN D747 ",16482,"(NA)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," BACILLUS SUBTILIS ",6479,"(NA)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," BLAD ",30006,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," BORAX DECAHYDRATE ",11102,"2,800",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," BOSCALID ",128008,"6,600",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," BT SUBSP KURSTAKI EVB-113-19 ",6544,"(NA)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," CAPTAN ",81301,"603,100",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," CYFLUFENAMID ",555550,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," CYPRODINIL ",288202,"30,300",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," DIFENOCONAZOLE ",128847,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," FENHEXAMID ",90209,"8,600",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," FLUDIOXONIL ",71503,"22,400",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," FLUOPYRAM ",80302,"14,600",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," FLUXAPYROXAD ",138009,"7,100",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," FOSETYL-AL ",123301,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," ISOFETAMID ",270000,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," MEFENOXAM ",113502,"7,200",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," MONO-POTASSIUM SALT ",76416,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," MYCLOBUTANIL ",128857,"10,800",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," PENTHIOPYRAD ",90112,"4,000",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," POLYOXIN D ZINC SALT ",230000,"3,300",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," PROPICONAZOLE ",122101,"2,300",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," PYDIFLUMETOFEN ",90110,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," PYRACLOSTROBIN ",99100,"10,600",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," PYRIMETHANIL ",288201,"8,300",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," QUINOLINE ",55459,"3,600",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," SULFUR ",77501,"1,258,100",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," TETRACONAZOLE ",120603,"1,300",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," THIOPHANATE-METHYL ",102001,"10,600",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," THIRAM ",79801,"269,500",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," TOTAL",NA,"2,338,800",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," TRIFLOXYSTROBIN ",129112,"14,600",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, FUNGICIDE"," TRIFLUMIZOLE ",128879,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, HERBICIDE"," CARFENTRAZONE-ETHYL ",128712,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, HERBICIDE"," FLUMIOXAZIN ",129034,"3,900",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, HERBICIDE"," OXYFLUORFEN ",111601,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, HERBICIDE"," PENDIMETHALIN ",108501,"71,400",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, HERBICIDE"," TOTAL",NA,"89,700",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," ABAMECTIN ",122804,"300",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," ACEQUINOCYL ",6329,"12,800",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," ACETAMIPRID ",99050,"3,300",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," AZADIRACHTIN ",121701,"2,800",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," BEAUVERIA BASSIANA ",128924,"(NA)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," BIFENAZATE ",586,"28,700",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," BIFENTHRIN ",128825,"4,600",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," BT KURSTAK ABTS-1857 ",6523,"(NA)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," BT KURSTAKI ABTS-351 ",6522,"(NA)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," BT KURSTAKI SA-11 ",6519,"(NA)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," CANOLA OIL ",11332,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," CHLORANTRANILIPROLE ",90100,"2,000",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA ",16329,"(NA)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," CYANTRANILIPROLE ",90098,"1,700",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," CYFLUMETOFEN ",138831,"7,600",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," ETOXAZOLE ",107091,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," FENBUTATIN-OXIDE ",104601,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," FENPROPATHRIN ",127901,"6,600",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," FENPYROXIMATE ",129131,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," FLONICAMID ",128016,"6,200",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," FLUPYRADIFURONE ",122304,"5,000",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," HEXYTHIAZOX ",128849,"5,400",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," IMIDACLOPRID ",129099,"3,100",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," LAMBDA-CYHALOTHRIN ",128897,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," MALATHION ",57701,"19,400",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," METHOXYFENOZIDE ",121027,"7,900",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," NALED ",34401,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," NEEM OIL ",25006,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," NEEM OIL, CLAR. HYD. ",25007,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," NOVALURON ",124002,"5,600",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," PIPERONYL BUTOXIDE ",67501,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," PYRETHRINS ",69001,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," PYRIDABEN ",129105,"(D)",NA,NA
"SURVEY",2023,"YEAR","STATE","CALIFORNIA","STRAWBERRIES"," BEARING - APPLICATIONS"," LB",NA,"CHEMICAL, INSECTICIDE"," SPINETORAM ",110007,"3,800",NA,NA
